Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Peru,19.72,20.47,20.47,20.46,20.15,19.44,18.63,18.28,18.79,19.48,19.91,20.22,20.36
Arequipa,10.80,12.16,12.44,12.51,11.94,10.47,9.17,9.00,8.77,9.87,10.42,11.05,11.94
Apurímac,8.83,9.54,9.78,9.80,9.65,8.35,7.25,7.06,7.40,8.55,9.04,9.71,9.92
Ucayali,25.57,26.06,25.85,25.92,25.83,25.32,24.64,24.24,25.11,25.76,25.96,26.14,25.99
Tumbes,24.11,25.41,25.97,25.98,25.70,24.86,23.52,22.71,22.49,22.57,22.79,23.16,24.27
Tacna,11.70,14.22,14.47,14.02,12.75,10.75,9.19,8.95,8.86,10.16,11.36,12.41,13.50
Amazonas,20.94,21.39,21.28,21.19,21.14,21.03,20.38,19.88,20.25,20.66,21.21,21.56,21.36
"San Martín",23.28,23.64,23.37,23.32,23.25,23.27,22.78,22.34,23.04,23.40,23.64,23.71,23.59
Puno,9.38,10.86,10.85,10.85,10.20,8.25,6.80,6.81,7.27,8.99,10.25,10.70,10.88
Piura,22.52,24.18,24.73,24.69,23.96,22.82,21.47,20.78,20.84,21.00,21.18,21.83,22.93
Pasco,18.99,19.60,19.43,19.53,19.35,18.89,18.19,17.66,18.31,18.84,19.21,19.50,19.37
Moquegua,9.78,11.60,11.82,11.67,10.79,9.07,7.64,7.53,7.38,8.78,9.67,10.35,11.17
"Madre de Dios",24.24,25.08,25.02,25.01,24.82,23.44,22.66,22.35,23.14,24.30,24.94,25.16,25.02
Loreto,26.69,26.93,26.82,26.80,26.62,26.53,26.02,25.75,26.40,26.89,27.19,27.17,27.13
Ancash,12.18,13.15,13.08,13.17,12.55,12.22,11.50,10.89,11.37,11.50,11.94,12.28,12.56
Lima,11.71,13.34,13.56,13.49,12.61,11.55,10.61,9.82,10.06,10.50,11.12,11.69,12.26
Lambayeque,22.02,24.16,24.78,24.67,23.62,22.21,20.77,19.91,19.91,20.11,20.33,21.24,22.71
"La Libertad",15.79,16.87,16.92,16.92,16.26,15.85,15.07,14.52,15.04,15.11,15.31,15.71,16.02
Junín,14.88,15.54,15.55,15.54,15.32,14.63,13.90,13.41,14.02,14.73,15.10,15.53,15.38
Ica,17.13,19.58,20.17,19.82,18.81,16.82,15.39,14.55,14.44,14.97,15.63,16.97,18.61
Huánuco,18.23,18.50,18.18,18.39,18.34,18.31,17.69,17.18,17.95,18.34,18.64,18.75,18.52
Huancavelica,8.21,8.88,9.13,9.00,8.83,8.00,7.21,6.71,7.18,7.86,8.17,8.84,8.81
Cusco,14.07,14.89,14.98,15.06,14.78,13.40,12.34,12.14,12.70,13.92,14.58,15.10,15.07
Callao,10.85,12.72,12.85,12.70,11.90,10.01,8.57,8.35,8.51,9.69,10.98,11.77,12.26
Cajamarca,16.46,17.11,16.91,16.90,16.71,16.56,15.90,15.55,16.10,16.27,16.19,16.68,16.68
Ayacucho,10.33,11.09,11.48,11.36,11.23,10.07,9.04,8.73,8.99,9.81,9.98,10.97,11.26
