Variable:,tasmin
,Annual,DJF,MAM,JJA,SON
Peru,13.06,14.74,13.73,11.08,12.93
Arequipa,3.28,6.33,4.27,0.42,2.69
Apurímac,0.49,3.37,1.27,-2.81,0.58
Ucayali,19.32,20.68,19.94,17.52,19.33
Tumbes,19.14,20.70,20.48,18.03,17.87
Tacna,4.97,8.70,5.91,1.42,4.44
Amazonas,14.48,15.43,15.08,13.33,14.27
"San Martín",16.78,17.65,17.22,15.58,16.80
Puno,1.14,4.79,2.02,-3.29,1.42
Piura,16.28,18.45,17.70,14.78,14.89
Pasco,11.87,13.57,12.56,9.88,11.82
Moquegua,2.07,5.58,3.06,-1.43,1.62
"Madre de Dios",18.02,20.09,18.70,15.45,18.14
Loreto,20.83,21.25,21.21,19.86,20.89
Ancash,5.10,6.93,5.88,3.32,4.70
Lima,4.85,7.67,5.94,2.41,4.17
Lambayeque,16.29,18.86,17.82,14.49,14.78
"La Libertad",9.46,11.12,10.24,8.02,8.94
Junín,7.43,9.62,8.13,4.94,7.49
Ica,11.80,15.02,13.14,9.37,10.50
Huánuco,10.88,12.11,11.43,9.22,10.97
Huancavelica,0.25,2.91,1.02,-2.60,0.23
Cusco,6.31,9.01,7.06,3.05,6.53
Callao,4.04,7.37,5.04,0.50,3.76
Cajamarca,9.78,10.99,10.40,8.72,9.42
Ayacucho,2.60,5.28,3.42,-0.17,2.38
