"UBIGEO","DEPARTAMENTO","Total"
"00","PERU",32625948
"01","AMAZONAS",426806
"02","ANCASH",1180638
"03","APURIMAC",430736
"04","AREQUIPA",1497438
"05","AYACUCHO",668213
"06","CAJAMARCA",1453711
"07","CALLAO",1129854
"08","CUSCO",1357075
"09","HUANCAVELICA",365317
"10","HUANUCO",760267
"11","ICA",975182
"12","JUNIN",1361467
"13","LA LIBERTAD",2016771
"14","LAMBAYEQUE",1310785
"15","LIMA",10628470
"16","LORETO",1027559
"17","MADRE DE DIOS",173811
"18","MOQUEGUA",192740
"19","PASCO",271904
"20","PIURA",2047954
"21","PUNO",1237997
"22","SAN MARTIN",899648
"23","TACNA",370974
"24","TUMBES",251521
"25","UCAYALI",589110
